,BTC,ETH,USDT,USDC,BNB,XRP,BUSD,DOGE,ADA,MATIC,timestamp,ValueCategory
0,16845.38,1229.05,1.02,1.0,248.76,0.3494,1.0,0.07239,0.2576,0.796,2023-01-03 13:48:15.025826,Price in $
1,11620.0,3010.0,15110.0,1630.0,296.0,927.0,3250.0,256.0,137.0,154.0,2023-01-03 13:48:15.040849,24h Volume in M$
2,-0.02,0.02,0.11,-0.02,-0.6,0.42,-0.0,-0.61,0.11,0.44,2023-01-03 13:48:15.054823,24h Change in %
3,321950.0,148900.0,66310.0,44710.0,39280.0,17360.0,16430.0,9490.0,8780.0,6820.0,2023-01-03 13:48:15.067823,Market Cap in M$
4,16845.38,1229.05,1.02,1.0,248.76,0.3494,1.0,0.07239,0.2576,0.796,2023-01-03 13:49:09.077439,Price in $
5,11620.0,3010.0,15110.0,1630.0,296.0,927.0,3250.0,256.0,137.0,154.0,2023-01-03 13:49:09.095442,24h Volume in M$
6,-0.02,0.02,0.11,-0.02,-0.6,0.42,-0.0,-0.61,0.11,0.44,2023-01-03 13:49:09.111438,24h Change in %
7,321950.0,148900.0,66310.0,44710.0,39280.0,17360.0,16430.0,9490.0,8780.0,6820.0,2023-01-03 13:49:09.129471,Market Cap in M$
8,16845.38,1229.05,1.02,1.0,248.76,0.3494,1.0,0.07239,0.2576,0.796,2023-01-03 13:49:20.329202,Price in $
9,11620.0,3010.0,15110.0,1630.0,296.0,927.0,3250.0,256.0,137.0,154.0,2023-01-03 13:49:20.348202,24h Volume in M$
10,-0.02,0.02,0.11,-0.02,-0.6,0.42,-0.0,-0.61,0.11,0.44,2023-01-03 13:49:20.363202,24h Change in %
11,321950.0,148900.0,66310.0,44710.0,39280.0,17360.0,16430.0,9490.0,8780.0,6820.0,2023-01-03 13:49:20.379202,Market Cap in M$
12,16845.38,1229.05,1.02,1.0,248.76,0.3494,1.0,0.07239,0.2576,0.796,2023-01-03 13:49:32.081991,Price in $
