,time,crypto,pos,neg,neu,count
0,2023-01-03 14:17:12.831583,Bitcoin,3,1,6,10
1,2023-01-03 14:17:12.851585,Ethereum,5,0,5,10
2,2023-01-03 14:17:12.871585,Tether,3,0,7,10
3,2023-01-03 14:17:12.892585,USD Coin,3,1,6,10
4,2023-01-03 14:17:12.911587,BNB,4,1,5,10
5,2023-01-03 14:17:12.927587,XRP,7,0,3,10
6,2023-01-03 14:17:12.947587,Binance USD,0,5,5,10
7,2023-01-03 14:17:12.964587,Dogecoin,5,0,5,10
8,2023-01-03 14:17:12.982587,Cardano,3,3,4,10
9,2023-01-03 14:17:13.000587,Polygon,3,2,5,10
10,2023-01-03 13:22:57.594026,Bitcoin,6,1,2,9
11,2023-01-03 13:22:57.602198,Ethereum,6,1,2,9
12,2023-01-03 13:22:57.610594,Tether,7,2,1,10
13,2023-01-03 13:22:57.619340,USD Coin,3,1,6,10
14,2023-01-03 13:22:57.629031,BNB,9,0,1,10
15,2023-01-03 13:22:57.635221,XRP,4,1,5,10
16,2023-01-03 13:22:57.643624,Binance USD,1,5,4,10
17,2023-01-03 13:22:57.649920,Dogecoin,3,0,7,10
18,2023-01-03 13:22:57.657415,Cardano,7,1,2,10
19,2023-01-03 13:22:57.664382,Polygon,5,0,5,10
20,2023-01-03 13:30:08.511199,Bitcoin,52,16,32,100
21,2023-01-03 13:30:08.555627,Ethereum,51,6,42,99
22,2023-01-03 13:30:08.599384,Tether,40,9,51,100
23,2023-01-03 13:30:08.656293,USD Coin,27,16,57,100
24,2023-01-03 13:30:08.706170,BNB,68,3,29,100
25,2023-01-03 13:30:08.741521,XRP,43,11,46,100
26,2023-01-03 13:30:08.789029,Binance USD,14,29,57,100
27,2023-01-03 13:30:08.830215,Dogecoin,47,14,39,100
28,2023-01-03 13:30:08.871869,Cardano,47,10,43,100
29,2023-01-03 13:30:08.916017,Polygon,49,9,42,100
30,2023-01-03 14:00:08.388964,Bitcoin,70,10,20,100
31,2023-01-03 14:00:08.437001,Ethereum,61,3,36,100
32,2023-01-03 14:00:08.480129,Tether,34,13,53,100
33,2023-01-03 14:00:08.537729,USD Coin,27,16,57,100
34,2023-01-03 14:00:08.590833,BNB,72,5,23,100
35,2023-01-03 14:00:08.627877,XRP,44,12,44,100
36,2023-01-03 14:00:08.675828,Binance USD,13,29,58,100
37,2023-01-03 14:00:08.721521,Dogecoin,59,9,32,100
38,2023-01-03 14:00:08.761679,Cardano,47,18,35,100
39,2023-01-03 14:00:08.810546,Polygon,61,9,30,100
40,2023-01-03 15:00:09.439366,Bitcoin,54,8,38,100
41,2023-01-03 15:00:09.474078,Ethereum,32,2,66,100
42,2023-01-03 15:00:09.514336,Tether,34,13,53,100
43,2023-01-03 15:00:09.571893,USD Coin,29,16,55,100
44,2023-01-03 15:00:09.619319,BNB,63,9,28,100
45,2023-01-03 15:00:09.653680,XRP,25,13,62,100
46,2023-01-03 15:00:09.702030,Binance USD,15,38,47,100
47,2023-01-03 15:00:09.744930,Dogecoin,52,12,36,100
48,2023-01-03 15:00:09.785879,Cardano,56,12,32,100
49,2023-01-03 15:00:09.833421,Polygon,56,10,33,99
50,2023-01-03 15:30:09.886502,Bitcoin,59,9,32,100
51,2023-01-03 15:30:09.935584,Ethereum,58,2,40,100
52,2023-01-03 15:30:09.978206,Tether,40,14,46,100
53,2023-01-03 15:30:10.036258,USD Coin,29,17,54,100
54,2023-01-03 15:30:10.085452,BNB,64,6,30,100
